Data S2 Results of temperature reconstruction and diagnostics,,,,,,,,,,,,,,,,
Year (C.E.),Temperature reconstruction (?),Error  (?),,Year (C.E.),Nearest modern analogue,5% pencentile,,Year (C.E.),Goodness-of-fit,90% pencentile,,Year (C.E.),Rare taxa (%),,Year (C.E.),Not present taxa (%)
1970,14.24369,0.54464,,1970,32.2872,30.22114,,1970,6.845,6.5933,,1970,12.72727,,1970,0
1941,13.08175,0.54925,,1941,28.53112,30.22114,,1941,4.8303,6.5933,,1941,2.43902,,1941,0.81301
1929,14.36182,0.60751,,1929,34.06645,30.22114,,1929,6.7699,6.5933,,1929,3.30579,,1929,0.82645
1917,14.07894,0.55032,,1917,31.44522,30.22114,,1917,4.3743,6.5933,,1917,1.05263,,1917,1.57895
1906,14.10959,0.5585,,1906,35.29857,30.22114,,1906,4.7186,6.5933,,1906,2.66667,,1906,2
1894,13.03094,0.61741,,1894,36.06607,30.22114,,1894,4.4037,6.5933,,1894,3.7037,,1894,0.74074
1870,14.03433,0.47635,,1870,30.88936,30.22114,,1870,3.3632,6.5933,,1870,1.03627,,1870,0
1859,12.94488,0.59723,,1859,29.41235,30.22114,,1859,5.9892,6.5933,,1859,0,,1859,0.72464
1835,11.89259,0.58336,,1835,26.14132,30.22114,,1835,4.7104,6.5933,,1835,0,,1835,0
1799,12.56392,0.59222,,1799,24.8495,30.22114,,1799,3.879,6.5933,,1799,1.6129,,1799,0
1764,12.08415,0.37738,,1764,30.21591,30.22114,,1764,2.5391,6.5933,,1764,0,,1764,2.16216
1565,11.95394,0.54545,,1565,27.67697,30.22114,,1565,4.9497,6.5933,,1565,3.38983,,1565,0
1534,10.83362,0.58146,,1534,28.26637,30.22114,,1534,4.7734,6.5933,,1534,0.70423,,1534,0
1516,12.00953,0.37981,,1516,28.14928,30.22114,,1516,2.8477,6.5933,,1516,0.49261,,1516,0.65681
1503,10.22363,0.49704,,1503,32.18441,30.22114,,1503,4.8473,6.5933,,1503,3.52941,,1503,0
1491,11.31431,0.60968,,1491,28.12478,30.22114,,1491,5.5889,6.5933,,1491,1.6129,,1491,0
1479,11.53121,0.55538,,1479,23.78542,30.22114,,1479,4.8168,6.5933,,1479,0,,1479,0
1466,11.56585,0.41095,,1466,29.76249,30.22114,,1466,4.1136,6.5933,,1466,1.5748,,1466,0
1453,10.61342,0.55127,,1453,25.42284,30.22114,,1453,5.1698,6.5933,,1453,0,,1453,0
1441,11.11636,0.43742,,1441,30.9042,30.22114,,1441,3.3154,6.5933,,1441,0,,1441,2.30415
