序号,朝代,书目,古地名,地理描述,景观产业描述,人口描述,今地区_y
1,汉朝,《汉书·西域传》,西域,西域以孝武时始通，本三十六国，其后稍分至五十余，皆在匈奴之西，乌孙之南。南北有大山，中央有河，东西六千余里，南北千余里。东则接汉，厄以玉门、阳关，西则限以葱岭。其南山，东出金城，与汉南山属焉。,,,新疆
2,汉朝,《汉书·西域传》,西域,其河有两原：一出葱岭山，一出于阗。”于阗在南山下，其河北流，与葱岭河合，东注蒲昌海。蒲昌海，一名盐泽者也，去玉门、阳关三百余里，广袤三百里。其水亭居，冬夏不增减，皆以为潜行地下，南出于积石，为中国河云。,,,新疆
3,汉朝,《汉书·西域传》,西域,自玉门、阳关出西域有两道。从鄯善傍南山北，波河西行至莎车，为南道；南道西逾葱岭则出大月氏、安息。自车师前王廷随北山，波河西行至疏勒，为北道；北道西逾葱岭则出大宛、康居、奄蔡焉。,,,新疆
4,汉朝,《汉书·西域传》,婼羌国,去阳关千八百里，去长安六千三百里。西与且末接，西北至鄯善。,山有铁，民随畜逐水草，不田作。,户四百五十，口千七百五十，胜兵五百人。,新疆巴音郭楞州且末县
5,汉朝,《汉书·西域传》,鄯善国,王治扜泥城，去阳关千六百里，去长安六千一百里。西北去都护千七百八十五里，至山国千三百六十五里，至车师千八百九十里。,地沙卤，少田，寄田旁国。国出玉，多葭苇、柽柳、胡桐、白草。民随畜牧，能作兵。,户千五百七十，口万四千一百，胜兵二千九百十二人。,新疆巴音郭楞州且末县
6,汉朝,《汉书·西域传》,且末国,王治且末城，去长安六千八百二十里。西北至都护二千二百五十八里，北接尉犁，南至小宛，西通精绝。,有蒲陶诸果。自且末以往皆种五谷。,户二百三十，口千六百一十，胜兵三百二十人。,新疆昌吉回族自治州木垒县
7,汉朝,《汉书·西域传》,小宛国,王治扜零城，去长安七千二百一十里。西北至都护二千五百五十八里，东与婼羌接。,土地草木，畜产作兵，略与汉同。,户百五十，口千五十，胜兵二百人。,新疆和田地区皮山县
8,汉朝,《汉书·西域传》,精绝国,王治精绝城，去长安八千八百二十里。北至都护二千七百二十三里，南至戎卢四日行，西通扜弥。,地厄??。,户四百八十，口三千三百六十，胜兵五百人。,新疆巴音郭楞州轮台县
9,汉朝,《汉书·西域传》,戎卢国,王治卑品城，去长安八千三百里。东北至都护二千八百五十八里，东与小宛，南与婼羌，西与渠勒接。,,户二百四十，口千六百一十，胜兵三百人。,新疆巴音郭楞州若羌县
10,汉朝,《汉书·西域传》,扜弥国,王治扜弥城，去长安九千二百八十里。东北至都护三千五百五十三里，南与渠勒、东北与龟兹、西北与姑墨接，西通于阗。,,户三千三百四十，口二万四十，胜兵三千五百四十人。,新疆伊宁市
11,汉朝,《汉书·西域传》,渠勒国,王治鞬都城，去长安九千九百五十里。东北至都护三千八百五十二里，东与戎卢、西与婼羌、北与扜弥接。,,户三百一十，口二千一百七十，胜兵三百人。,新疆昌吉市
12,汉朝,《汉书·西域传》,于阗国,王治西城，去长安九千六百七十里。东北至都护三千九百四十七里，南与婼羌，北与姑墨接。,多玉石。水东流注盐泽，西流注西海。,户三千三百，口万九千三百，胜兵二千四百人。,新疆和田县
